NOM ESTACIÓ
Pl. Catalunya
La Bonanova
Reina Elisenda
Plaça Molina
Peu del Funicular
Terrassa  Estació del nord
Bellaterra
Provença
Sant Gervasi
Sabadell Rambla
Muntaner
Sabadell Nord
Les Tres Torres
Baixador de Vallvidrera
La Floresta
Sant Cugat
Mira-Sol
Rubí
Les Fonts
Terrassa Nacions Unides
Sant Joan
Sant Quirze
Sabadell Pl. Major
Creu Alta
Gràcia
Sarrià
Pàdua
El Putxet
Av.Tibidabo
Vallvidrera Superior
Les Planes
Valldoreix
Hospital General
Terrassa Rambla
Vallparadís Universitat
Volpelleres
Universitat Autònoma
Sabadell Estació
Sabadell Parc Nord
