date;Short Name;trip_headsign;stop_name;stop_id;arrival_time;departure_time;exception_type;stop_sequence;shape_id;timepoint;route_long_name;route_type;route_url;route_color;route_text_color;stop_lat;stop_lon;wheelchair_boarding
2024-05-18;R6;Martorell Enllaç;Capellades;CA;23:47:30;23:48:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Sant Boi;BO;25:58:45;25:59:15;1;10;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;21:06:30;21:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;25:46:30;25:47:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;16:06:30;16:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;23:16:30;23:17:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Igualada;Capellades;CA;18:26:40;18:27:10;1;29;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Sant Boi;BO;24:03:45;24:04:15;1;10;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Igualada;Capellades;CA;20:26:40;20:27:10;1;29;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;20:33:30;20:34:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;17:06:30;17:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;19:48:30;19:49:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Igualada;Capellades;CA;19:26:40;19:27:10;1;29;100008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Pl. Espanya;Sant Boi;BO;21:36:30;21:37:00;1;2;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;19:06:30;19:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Sant Boi;BO;21:47:45;21:48:15;1;10;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.34856143;2.042855988;0
2024-05-18;R6;Pl. Espanya;Capellades;CA;11:06:30;11:07:00;1;4;200008;1;Barcelona Pl. Espanya - Igualada;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R6;b3b3b3;FFFFFF;41.52153533;1.695130725;0
